generation,best_fitness,avg_fitness,fitness_std,diversity,improvement_pct
0,79.700454,110.775770,21.676040,1.000000,33.39
1,79.700454,99.393515,12.328262,1.000000,33.39
2,69.800449,97.604735,13.649135,1.000000,41.67
3,68.696035,89.622689,11.920476,1.000000,42.59
4,68.696035,87.232990,10.062274,1.000000,42.59
5,68.696035,85.205481,11.134286,1.000000,42.59
6,68.526526,87.340510,13.931600,1.000000,42.73
7,67.837174,81.551936,10.629765,0.950000,43.31
8,67.072277,89.444277,16.382592,1.000000,43.95
9,66.067695,86.902543,13.691181,0.900000,44.79
10,65.221056,82.730586,12.764878,0.950000,45.49
11,63.891585,74.812462,15.591775,0.750000,46.60
12,63.891585,74.924239,8.242440,0.900000,46.60
13,63.891585,74.923372,9.841554,0.650000,46.60
14,63.891585,73.702943,8.453682,0.750000,46.60
15,63.891585,75.881727,11.203315,0.750000,46.60
16,63.891585,73.688000,8.777113,0.800000,46.60
17,63.891585,84.003589,15.470499,0.850000,46.60
18,63.891585,78.696033,12.772438,0.750000,46.60
19,63.891585,73.630623,9.037880,0.650000,46.60
20,63.891585,77.818502,11.018477,0.850000,46.60
21,63.891585,74.394782,7.180571,0.700000,46.60
22,63.891585,76.319418,10.372425,0.650000,46.60
23,63.262151,74.929380,8.719478,0.850000,47.13
24,63.262151,74.165736,10.013411,0.850000,47.13
