generation,gene_0_mean,gene_0_std,gene_0_min,gene_0_max,gene_1_mean,gene_1_std,gene_1_min,gene_1_max,gene_2_mean,gene_2_std,gene_2_min,gene_2_max,gene_3_mean,gene_3_std,gene_3_min,gene_3_max
0,28.400000,8.357033,16.000000,44.000000,27.700000,10.000500,15.000000,42.000000,17.050000,4.532935,10.000000,25.000000,17.500000,5.652433,10.000000,29.000000
1,30.430000,8.570362,12.100000,44.000000,26.125000,6.609907,15.800000,41.000000,14.265000,3.927120,10.000000,23.000000,16.595000,5.097399,10.000000,27.100000
2,30.750000,7.903259,12.100000,44.000000,24.960000,6.693310,10.800000,39.000000,13.615000,3.869144,10.000000,21.100000,14.745000,3.778422,10.000000,23.000000
3,33.800000,5.489627,27.400000,44.000000,26.565000,6.915004,10.800000,39.000000,13.150000,3.717459,10.000000,20.700000,13.505000,1.993859,10.600000,17.400000
4,34.245000,4.534366,26.900000,44.000000,27.430000,5.940884,15.800000,39.000000,13.930000,3.726003,10.000000,21.300000,12.960000,2.693956,10.000000,22.400000
5,33.345000,5.214545,22.500000,39.000000,29.685000,4.064637,19.300000,39.000000,14.505000,3.754261,10.000000,20.700000,12.195000,1.841053,10.000000,16.300000
6,34.875000,4.571310,28.500000,39.000000,31.700000,4.396021,26.100000,39.000000,15.690000,3.564393,10.000000,22.400000,12.635000,3.651339,10.000000,24.800000
7,33.150000,4.292726,30.000000,39.000000,32.175000,4.663247,24.200000,39.000000,12.975000,2.831585,10.000000,18.000000,12.610000,2.698314,10.000000,17.400000
8,31.605000,3.792687,26.100000,39.000000,31.480000,4.582641,24.800000,39.000000,13.415000,3.892464,10.000000,22.000000,13.725000,3.482366,10.000000,22.000000
9,29.940000,3.691937,21.200000,39.000000,29.740000,3.751053,23.500000,39.000000,12.430000,2.947389,10.000000,21.000000,13.525000,3.846801,10.000000,22.200000
10,30.315000,4.161403,21.600000,39.000000,29.075000,4.317276,20.700000,39.000000,12.345000,3.211616,10.000000,20.000000,12.860000,3.963887,10.000000,23.300000
11,29.470000,0.813695,27.900000,30.000000,28.435000,1.903490,24.100000,30.000000,11.275000,3.260196,10.000000,21.700000,10.535000,0.610143,10.000000,12.500000
12,28.545000,1.776929,24.000000,30.000000,29.425000,1.068586,25.800000,30.000000,10.800000,1.449483,10.000000,15.000000,10.875000,1.338236,10.000000,14.400000
13,28.980000,1.054324,26.800000,30.000000,29.525000,1.628765,22.600000,30.000000,11.165000,2.043349,10.000000,17.400000,10.755000,1.931444,10.000000,18.200000
14,27.895000,1.985567,22.600000,30.000000,29.170000,1.707659,23.600000,30.000000,10.350000,1.108377,10.000000,15.000000,10.260000,0.780000,10.000000,12.600000
15,27.420000,2.430967,20.900000,30.000000,29.330000,1.473126,25.000000,30.000000,10.765000,1.964758,10.000000,18.700000,10.310000,0.906587,10.000000,13.400000
16,28.915000,0.911194,26.800000,30.000000,29.020000,1.779775,23.900000,30.000000,10.310000,1.200375,10.000000,15.500000,11.020000,1.771609,10.000000,15.200000
17,26.885000,2.876852,20.600000,30.000000,28.815000,2.230084,22.000000,30.000000,12.280000,3.143660,10.000000,20.900000,10.280000,1.040000,10.000000,14.800000
18,27.685000,2.870065,20.700000,30.000000,29.410000,1.409220,23.800000,30.000000,10.555000,1.169818,10.000000,14.500000,11.595000,3.071396,10.000000,21.100000
19,29.355000,0.850573,27.700000,30.000000,29.405000,1.657853,22.600000,30.000000,10.485000,1.193430,10.000000,14.900000,10.720000,1.911701,10.000000,17.700000
20,28.845000,1.493477,23.900000,30.000000,29.705000,0.891894,26.700000,30.000000,11.405000,2.545678,10.000000,18.400000,10.765000,1.781650,10.000000,16.100000
21,28.650000,2.030148,20.900000,30.000000,28.715000,2.915866,19.100000,30.000000,10.380000,0.961561,10.000000,13.500000,10.225000,0.647978,10.000000,12.400000
22,28.275000,2.894629,18.900000,30.000000,29.455000,2.375600,19.100000,30.000000,10.970000,1.939098,10.000000,16.200000,10.225000,0.554865,10.000000,12.400000
23,28.935000,2.009297,21.900000,30.000000,29.385000,1.335019,24.800000,30.000000,11.060000,2.289192,10.000000,18.600000,10.490000,1.107204,10.000000,14.400000
24,28.535000,2.235459,19.400000,30.000000,29.290000,1.221843,24.800000,30.000000,10.655000,1.742835,10.000000,17.700000,10.970000,2.158958,10.000000,17.300000
