generation,best_fitness,avg_fitness,fitness_std,diversity,improvement_pct
0,89.115889,94.296118,3.204742,1.000000,1.80
1,86.724702,92.561151,2.806292,1.000000,4.44
2,86.022920,93.538587,4.627044,1.000000,5.21
3,86.022920,93.486608,3.415064,1.000000,5.21
4,83.545661,90.799514,4.282930,0.900000,7.94
5,83.545661,90.660944,3.029100,1.000000,7.94
6,83.545661,91.443918,4.930663,1.000000,7.94
7,83.545661,90.700244,3.287132,1.000000,7.94
8,77.078491,89.991327,4.477089,1.000000,15.07
9,77.078491,89.164218,6.325901,1.000000,15.07
10,77.078491,86.019606,4.115253,0.900000,15.07
11,77.078491,84.143650,4.932221,1.000000,15.07
12,76.879055,84.192923,3.988909,1.000000,15.29
13,76.879055,86.208223,4.010274,1.000000,15.29
14,74.566950,82.354043,4.428551,1.000000,17.83
15,70.895745,80.591340,4.784537,1.000000,21.88
16,70.895745,80.661387,6.582915,1.000000,21.88
17,70.895745,81.471556,5.065294,1.000000,21.88
18,70.895745,80.810078,4.688760,1.000000,21.88
19,70.895745,79.443894,4.679057,1.000000,21.88
20,70.895745,78.121269,4.080049,1.000000,21.88
21,69.668831,77.240311,4.614044,0.950000,23.23
22,69.589145,77.406303,5.144337,0.950000,23.32
23,69.589145,77.409776,5.214305,0.900000,23.32
24,69.589145,78.106608,5.410700,0.950000,23.32
