generation,best_fitness,avg_fitness,fitness_std,diversity,improvement_pct
0,43.747321,56.171872,7.246062,1.000000,25.59
1,40.266450,48.413113,5.351039,1.000000,31.51
2,37.687590,46.119914,5.265399,1.000000,35.90
3,37.687590,44.753154,5.484877,1.000000,35.90
4,34.134775,42.163851,4.866092,1.000000,41.94
5,33.486352,40.210847,5.275584,0.950000,43.04
6,33.164726,37.754942,3.332833,1.000000,43.59
7,33.164726,36.823758,2.612492,1.000000,43.59
8,31.729871,36.130392,3.471706,1.000000,46.03
9,31.729871,36.283386,3.534719,1.000000,46.03
10,31.729871,36.624334,3.398078,1.000000,46.03
11,31.729871,36.587293,3.458646,1.000000,46.03
12,31.729871,35.502667,1.829477,1.000000,46.03
13,31.729871,35.691207,2.005348,1.000000,46.03
14,31.729871,36.733667,3.142016,1.000000,46.03
15,31.729871,36.062094,2.482338,1.000000,46.03
16,31.729871,37.221208,3.001559,1.000000,46.03
17,31.729871,35.664636,2.414603,1.000000,46.03
18,31.729871,35.539742,2.105190,1.000000,46.03
19,31.368554,35.450856,2.529777,1.000000,46.65
20,31.368554,35.093714,2.204673,0.950000,46.65
21,31.368554,35.278368,1.972325,1.000000,46.65
22,31.059761,34.818832,2.319543,1.000000,47.17
23,30.131717,34.798964,1.994020,1.000000,48.75
24,30.131717,35.129537,2.321340,1.000000,48.75
