PARALLEL GA RESULTS
Export Time,2025-12-06 22:59:04
Total Generations,25

PERFORMANCE
Metric,Value,Unit
Baseline Fitness,58.793589,seconds
Optimized Fitness,30.131717,seconds
Improvement,48.75,%
Absolute Gain,28.661872,seconds

BEST SOLUTION GENES
Gene Index,Value
0,12.300000
1,11.700000
2,24.500000
3,25.100000
