generation,gene_0_mean,gene_0_std,gene_0_min,gene_0_max,gene_1_mean,gene_1_std,gene_1_min,gene_1_max,gene_2_mean,gene_2_std,gene_2_min,gene_2_max,gene_3_mean,gene_3_std,gene_3_min,gene_3_max
0,19.450000,2.871846,15.000000,24.000000,18.400000,3.498571,14.000000,25.000000,19.200000,2.521904,14.000000,23.000000,20.100000,2.981610,15.000000,25.000000
1,18.340000,3.154267,13.300000,26.200000,16.465000,2.623790,13.000000,25.100000,20.895000,1.952812,17.000000,24.100000,21.175000,3.128398,15.300000,25.700000
2,18.270000,2.378676,12.600000,23.300000,15.755000,2.412773,10.500000,20.500000,20.995000,1.504485,19.000000,24.100000,22.835000,3.388255,15.300000,28.200000
3,16.555000,3.095557,11.700000,23.300000,15.210000,2.852700,10.000000,20.100000,20.925000,1.677461,17.300000,24.400000,24.600000,3.284814,16.600000,29.300000
4,16.250000,2.553723,12.100000,20.600000,13.085000,2.598514,10.000000,20.100000,20.445000,2.664859,14.200000,24.400000,26.185000,2.528888,18.700000,30.000000
5,13.905000,2.743624,10.000000,22.500000,14.245000,1.849723,10.100000,17.600000,21.380000,2.778057,16.700000,26.400000,26.180000,2.394494,20.400000,30.000000
6,13.615000,1.665616,10.400000,16.700000,14.220000,1.988366,10.000000,19.100000,22.495000,2.934191,16.600000,26.400000,25.930000,1.722527,20.900000,27.800000
7,13.615000,1.919967,10.400000,17.300000,14.650000,1.850811,11.500000,20.100000,23.650000,2.121202,19.500000,28.400000,25.860000,2.219324,20.100000,29.900000
8,12.670000,1.130088,10.000000,14.900000,14.290000,2.017399,10.000000,20.100000,23.640000,1.503795,19.800000,26.400000,26.200000,1.658312,21.700000,30.000000
9,12.640000,1.297844,10.000000,15.300000,14.215000,2.460340,10.000000,19.600000,24.140000,1.312402,22.200000,27.300000,26.280000,1.065176,24.300000,28.100000
10,13.245000,1.438567,10.000000,15.500000,13.760000,2.606991,10.000000,20.200000,24.415000,1.956853,21.600000,28.800000,26.155000,2.023234,21.700000,29.400000
11,13.420000,1.836736,10.000000,18.100000,13.715000,2.594470,10.000000,18.700000,24.785000,2.411695,20.100000,28.800000,26.165000,2.040410,21.700000,28.700000
12,13.260000,1.520987,10.000000,15.200000,13.180000,2.076680,10.000000,17.300000,26.065000,2.040901,22.900000,30.000000,27.555000,1.518050,23.500000,30.000000
13,13.255000,1.447230,10.000000,16.000000,12.770000,1.959617,10.000000,17.000000,24.890000,2.115869,20.400000,28.400000,27.420000,1.869920,22.700000,30.000000
14,14.355000,1.216337,12.600000,16.700000,13.635000,1.802297,10.500000,16.500000,24.775000,1.861686,21.400000,27.800000,27.020000,1.736548,24.100000,30.000000
15,14.360000,1.531143,11.500000,17.600000,13.235000,1.566293,10.200000,16.500000,24.885000,2.243942,20.000000,28.600000,26.835000,2.115957,22.800000,30.000000
16,13.895000,1.741687,10.500000,17.900000,12.630000,1.410355,10.000000,16.000000,24.280000,2.326500,20.800000,30.000000,26.170000,1.861746,22.300000,29.300000
17,12.985000,1.870368,10.500000,17.500000,13.225000,1.266837,10.700000,16.000000,24.815000,2.539345,21.200000,30.000000,26.375000,1.814904,22.400000,30.000000
18,12.485000,1.723739,10.000000,15.400000,12.605000,1.214691,10.000000,14.600000,24.975000,2.074096,21.200000,30.000000,26.525000,1.443217,24.600000,30.000000
19,11.885000,1.536969,10.000000,14.800000,12.615000,1.114125,11.100000,16.700000,24.855000,2.064818,21.700000,29.900000,26.170000,2.014721,21.000000,29.000000
20,12.085000,1.808390,10.000000,16.900000,12.945000,1.875493,10.000000,16.600000,24.860000,1.607918,22.300000,28.700000,25.975000,1.507606,23.600000,29.000000
21,11.585000,1.594138,10.000000,16.500000,12.635000,1.891369,10.000000,17.200000,24.870000,1.624223,22.200000,28.700000,25.675000,1.860074,22.600000,29.300000
22,11.750000,1.412268,10.000000,15.100000,12.235000,1.457832,10.000000,16.600000,24.910000,1.849027,22.000000,30.000000,25.335000,1.858568,22.000000,30.000000
23,11.915000,1.366483,10.000000,14.000000,11.775000,1.076511,10.000000,14.200000,24.570000,1.250640,22.000000,27.600000,25.415000,1.588167,22.200000,28.900000
24,12.620000,1.635726,10.000000,16.500000,11.755000,1.584448,10.000000,15.700000,25.345000,1.336591,23.200000,27.700000,24.650000,1.087888,21.200000,26.600000
