generation,best_fitness,avg_fitness,fitness_std,diversity,improvement_pct
0,149.835948,177.658129,14.379512,1.000000,15.31
1,149.835948,174.799355,13.556592,1.000000,15.31
2,149.835948,170.411523,9.502818,1.000000,15.31
3,142.203565,161.304531,9.624155,0.950000,19.62
4,130.120782,156.659115,11.205836,1.000000,26.45
5,130.120782,157.205372,12.607856,1.000000,26.45
6,130.120782,154.622150,9.461558,1.000000,26.45
7,130.120782,150.656476,10.000827,1.000000,26.45
8,130.120782,146.380187,10.734684,0.950000,26.45
9,130.120782,152.243627,13.292961,0.950000,26.45
10,123.866121,149.980582,13.182762,1.000000,29.99
11,121.725986,140.949465,11.848383,1.000000,31.20
12,121.190969,143.140458,14.793744,0.900000,31.50
13,120.004355,145.699657,15.519229,0.950000,32.17
14,120.004355,150.578775,19.196521,1.000000,32.17
15,113.490277,151.427808,18.951091,1.000000,35.85
16,110.348363,139.331924,20.312533,0.950000,37.63
17,110.348363,137.714185,20.969975,0.850000,37.63
18,108.438535,134.241983,22.575647,0.850000,38.71
19,90.018450,117.286100,22.430381,0.850000,49.12
20,86.821172,97.296225,4.464474,1.000000,50.93
21,86.821172,96.159718,5.699276,1.000000,50.93
22,83.208665,98.824047,9.188318,0.950000,52.97
23,144.024513,161.601893,8.391202,0.950000,18.59
24,142.250618,156.080389,7.597857,0.950000,19.60
