generation,best_fitness,avg_fitness,fitness_std,diversity,improvement_pct
0,142.561060,179.099716,16.657119,1.000000,19.42
1,142.561060,176.601057,12.467818,1.000000,19.42
2,142.561060,173.816373,14.463906,1.000000,19.42
3,138.876842,161.415495,14.023620,1.000000,21.50
4,134.369160,158.741400,16.339296,0.950000,24.05
5,114.570737,154.208992,19.033919,1.000000,35.24
6,114.570737,149.992826,19.764338,1.000000,35.24
7,114.570737,150.793635,18.121246,1.000000,35.24
8,111.017700,148.356875,19.943078,1.000000,37.25
9,111.017700,148.076267,22.657057,1.000000,37.25
10,111.017700,143.475108,22.310301,0.950000,37.25
11,111.017700,137.912339,19.308243,1.000000,37.25
12,109.641540,136.180066,19.020721,1.000000,38.03
13,109.213872,130.695747,21.736200,0.900000,38.27
14,108.954554,121.078481,15.156851,0.700000,38.42
15,108.954554,128.355022,21.650026,0.750000,38.42
16,104.373487,138.550296,21.683464,0.750000,41.01
17,104.373487,139.783552,21.942189,1.000000,41.01
18,104.373487,137.380487,20.306194,1.000000,41.01
19,104.373487,134.726896,19.157027,1.000000,41.01
20,104.373487,126.719052,17.045297,0.950000,41.01
21,104.373487,130.576487,20.020112,0.900000,41.01
22,104.373487,127.440519,18.841508,0.900000,41.01
23,104.373487,136.637508,19.934892,0.900000,41.01
24,104.373487,130.005941,22.393440,0.900000,41.01
