generation,gene_0_mean,gene_0_std,gene_0_min,gene_0_max,gene_1_mean,gene_1_std,gene_1_min,gene_1_max,gene_2_mean,gene_2_std,gene_2_min,gene_2_max,gene_3_mean,gene_3_std,gene_3_min,gene_3_max
0,30.900000,7.771100,16.000000,43.000000,26.200000,6.742403,16.000000,41.000000,19.400000,5.580323,10.000000,28.000000,21.600000,5.444263,10.000000,29.000000
1,31.550000,4.792025,22.600000,42.000000,24.840000,6.790611,15.200000,41.000000,20.745000,5.726821,10.000000,29.800000,19.480000,6.269099,10.000000,28.900000
2,31.815000,4.926995,27.000000,42.000000,24.905000,6.441931,18.900000,41.000000,20.645000,4.756204,11.800000,30.000000,16.630000,5.284420,10.000000,28.000000
3,33.150000,6.305910,21.900000,41.000000,23.960000,8.079381,14.800000,41.000000,17.440000,3.131837,11.100000,25.300000,14.285000,3.351608,10.500000,25.000000
4,33.510000,7.525218,17.400000,41.000000,20.840000,6.743248,12.100000,41.000000,16.310000,3.057924,10.000000,24.900000,13.045000,2.804545,10.000000,19.000000
5,34.950000,5.472431,30.000000,41.000000,17.615000,2.903838,12.100000,22.600000,15.555000,3.468065,10.000000,24.300000,12.100000,2.512767,10.000000,17.500000
6,36.050000,5.472431,30.000000,41.000000,17.235000,3.869015,12.100000,25.100000,14.185000,2.910717,10.000000,19.000000,12.705000,2.590844,10.000000,17.600000
7,34.950000,5.472431,30.000000,41.000000,16.695000,4.275918,10.000000,26.300000,13.900000,3.134007,10.000000,20.000000,12.695000,3.411814,10.000000,24.600000
8,35.500000,5.500000,30.000000,41.000000,15.890000,4.138224,10.000000,22.600000,14.060000,3.315931,10.000000,20.100000,12.610000,2.488554,10.000000,17.500000
9,35.295000,5.770916,25.900000,41.000000,14.355000,3.963013,10.000000,22.300000,13.800000,4.316248,10.000000,23.500000,12.290000,2.443543,10.000000,16.900000
10,35.500000,5.500000,30.000000,41.000000,13.590000,3.802223,10.000000,22.300000,12.590000,4.226807,10.000000,25.000000,12.170000,2.708154,10.000000,18.300000
11,35.500000,5.500000,30.000000,41.000000,11.900000,2.989816,10.000000,21.600000,11.390000,3.439753,10.000000,25.000000,11.720000,2.235979,10.000000,18.100000
12,34.950000,5.472431,30.000000,41.000000,11.890000,2.360911,10.000000,17.200000,10.755000,1.115560,10.000000,14.400000,11.025000,1.171271,10.000000,13.300000
13,36.050000,5.472431,30.000000,41.000000,11.725000,3.281749,10.000000,21.800000,11.100000,1.834939,10.000000,16.300000,10.555000,1.059469,10.000000,14.000000
14,38.800000,4.400000,30.000000,41.000000,10.820000,2.485277,10.000000,21.100000,11.000000,1.897894,10.000000,16.300000,10.660000,1.241934,10.000000,15.200000
15,37.150000,5.246666,30.000000,41.000000,10.420000,0.844156,10.000000,13.200000,11.290000,2.953286,10.000000,22.400000,11.470000,2.540886,10.000000,18.900000
16,34.400000,5.388877,30.000000,41.000000,11.355000,2.816465,10.000000,19.200000,11.150000,2.738704,10.000000,20.800000,11.220000,2.282455,10.000000,20.600000
17,34.785000,5.665534,26.700000,41.000000,11.220000,1.848675,10.000000,15.300000,11.945000,2.923435,10.000000,20.800000,11.340000,1.537335,10.000000,14.600000
18,36.600000,5.388877,30.000000,41.000000,11.255000,1.586970,10.000000,14.800000,12.255000,3.030755,10.000000,20.800000,12.445000,2.817885,10.000000,19.500000
19,36.600000,5.388877,30.000000,41.000000,11.090000,1.851999,10.000000,16.900000,11.935000,1.931392,10.000000,17.900000,11.785000,2.434189,10.000000,17.900000
20,38.250000,4.763140,30.000000,41.000000,10.755000,1.201863,10.000000,15.400000,11.600000,1.986202,10.000000,18.000000,12.205000,2.582533,10.000000,17.700000
21,37.150000,5.246666,30.000000,41.000000,11.795000,2.763417,10.000000,19.900000,11.845000,2.167366,10.000000,17.100000,11.515000,2.393173,10.000000,19.100000
22,38.250000,4.763140,30.000000,41.000000,11.740000,2.758695,10.000000,19.900000,11.935000,2.406507,10.000000,17.100000,11.910000,3.217126,10.000000,19.100000
23,36.050000,5.472431,30.000000,41.000000,11.255000,1.901966,10.000000,17.300000,11.980000,2.729762,10.000000,20.400000,10.950000,1.891957,10.000000,17.600000
24,37.100000,5.318834,29.000000,41.000000,11.030000,1.812209,10.000000,17.000000,11.665000,2.479370,10.000000,18.500000,11.285000,1.989541,10.000000,17.600000
