generation,gene_0_mean,gene_0_std,gene_0_min,gene_0_max,gene_1_mean,gene_1_std,gene_1_min,gene_1_max,gene_2_mean,gene_2_std,gene_2_min,gene_2_max,gene_3_mean,gene_3_std,gene_3_min,gene_3_max
0,29.250000,6.948921,18.000000,42.000000,28.300000,8.258935,16.000000,44.000000,18.350000,4.430293,12.000000,28.000000,21.400000,5.624944,12.000000,29.000000
1,30.450000,7.711063,14.100000,42.000000,29.930000,9.421948,16.000000,44.000000,17.735000,4.457272,10.000000,29.400000,21.275000,5.455628,12.000000,30.000000
2,28.125000,5.124732,15.800000,38.000000,33.835000,5.695373,26.700000,44.000000,18.230000,4.309072,12.500000,27.200000,17.510000,6.384975,10.000000,27.400000
3,26.305000,4.579462,15.800000,30.000000,31.190000,5.240029,21.600000,44.000000,14.360000,2.768104,10.300000,20.000000,13.005000,3.142209,10.000000,24.200000
4,26.890000,3.602208,15.800000,30.000000,32.720000,5.949168,23.500000,44.000000,12.495000,1.261537,10.000000,14.500000,11.615000,1.767279,10.000000,16.000000
5,26.770000,3.257775,17.400000,30.000000,33.570000,4.916615,29.400000,44.000000,12.350000,2.005368,10.000000,18.300000,12.665000,3.155990,10.000000,22.500000
6,28.165000,2.318033,19.500000,30.000000,33.080000,4.992154,29.600000,44.000000,12.180000,2.587586,10.000000,20.900000,11.930000,2.325747,10.000000,19.500000
7,28.410000,1.375100,25.200000,30.000000,34.070000,6.729346,24.200000,44.000000,11.315000,3.020310,10.000000,22.600000,11.035000,1.501424,10.000000,16.200000
8,28.270000,1.666463,24.200000,30.000000,37.130000,6.978617,27.600000,44.000000,11.540000,2.690985,10.000000,20.500000,11.010000,1.847945,10.000000,18.200000
9,27.400000,3.060556,19.600000,30.000000,35.775000,7.663411,21.400000,44.000000,11.770000,3.373885,10.000000,22.400000,12.040000,2.129178,10.000000,16.900000
10,26.755000,3.702091,18.500000,30.000000,36.880000,7.131522,28.100000,44.000000,11.335000,3.318475,10.000000,24.200000,11.765000,1.771518,10.000000,15.800000
11,25.630000,3.577303,19.000000,30.000000,41.200000,5.600000,30.000000,44.000000,10.865000,1.869298,10.000000,16.200000,11.835000,2.461763,10.000000,17.400000
12,23.990000,4.696052,14.000000,30.000000,39.800000,6.415606,30.000000,44.000000,12.340000,2.667658,10.000000,17.900000,10.550000,1.426710,10.000000,15.500000
13,22.130000,4.327713,13.300000,30.000000,39.100000,6.677574,30.000000,44.000000,12.690000,3.692817,10.000000,24.400000,11.445000,2.324968,10.000000,17.300000
14,20.165000,3.135327,12.600000,25.900000,37.700000,6.964912,30.000000,44.000000,12.765000,3.137718,10.000000,18.800000,12.175000,3.122799,10.000000,20.000000
15,19.610000,3.744716,12.600000,25.800000,36.300000,6.964912,30.000000,44.000000,11.915000,2.469064,10.000000,18.800000,11.730000,2.291964,10.000000,17.000000
16,18.730000,4.185702,12.700000,26.200000,38.850000,7.051773,27.000000,44.000000,11.475000,1.994461,10.000000,16.400000,11.010000,1.654358,10.000000,17.000000
17,16.190000,4.052764,12.700000,25.500000,39.000000,6.826419,28.000000,44.000000,11.770000,2.706123,10.000000,19.500000,11.610000,3.121682,10.000000,19.600000
18,13.940000,3.111656,10.000000,25.500000,38.400000,6.858571,30.000000,44.000000,12.080000,3.899436,10.000000,25.100000,10.655000,1.243975,10.000000,14.600000
19,12.650000,2.226993,10.000000,17.300000,37.700000,6.964912,30.000000,44.000000,11.615000,2.237024,10.000000,16.200000,10.450000,1.135121,10.000000,14.100000
20,13.290000,2.716597,10.000000,19.700000,33.735000,7.012437,20.700000,44.000000,11.705000,2.085779,10.000000,17.200000,11.185000,1.937595,10.000000,16.000000
21,14.690000,4.830414,10.000000,27.100000,31.145000,4.337681,27.200000,44.000000,12.265000,2.586943,10.000000,17.900000,10.720000,1.334766,10.000000,15.100000
22,15.955000,4.775089,10.000000,26.800000,29.025000,1.740366,24.300000,30.000000,12.305000,3.067976,10.000000,21.100000,11.455000,2.878103,10.000000,21.700000
23,18.395000,5.900718,10.000000,30.000000,28.905000,1.837791,22.800000,30.000000,10.570000,1.468366,10.000000,16.100000,11.590000,2.394348,10.000000,17.700000
24,19.205000,6.571109,10.000000,30.000000,29.250000,1.531503,23.800000,30.000000,10.640000,1.500133,10.000000,16.100000,10.635000,1.575841,10.000000,15.500000
